road,bus,rail,diversity
1.428028159,0.146801617,0.002683759,0.431048823
1.288869419,0.133187798,0.005087034,0.454655975
0.790022997,0.09717929,0.002331237,0.277510432
1.474585056,0.129361968,0.003004308,0.574334759
1.710167096,0.152130876,0.00522106,0.603343518
0.745517872,0.066487648,0.001048425,0.223802514
0.991956569,0.083923484,0.002420039,0.476749706
1.435102342,0.098289252,0.003566949,0.563542023
1.824544847,0.160757945,0.010177481,0.627372285
1.43230357,0.136486714,0.001959691,0.54034475
2.837126689,0.26349204,0.009908475,0.519638734
2.634605227,0.246377877,0.009360354,0.525603045
2.068122318,0.2154766,0.00792818,0.491367404
1.691649204,0.157805317,0.004361453,0.474886233
1.181274635,0.124287389,0.00171109,0.277518372
1.178220261,0.113868267,0.002676391,0.496031846
1.654043388,0.158215086,0.004122869,0.549217599
1.378400046,0.109669618,0.002657584,0.542887888
1.46349874,0.149155084,0.002736791,0.343401574
1.171523138,0.103299614,0.003233431,0.363910104
1.577688675,0.143257109,0.00504988,0.50004059
2.3123081,0.170640615,0.005394628,0.476855685
2.676329668,0.21102839,0.013407881,0.527967793
3.498121334,0.245482199,0.011305101,0.561020435
3.389461213,0.294143681,0.019064868,0.598887996
2.640284323,0.255629822,0.018357617,0.552044067
3.194436526,0.232676601,0.018076469,0.575112109
3.290111358,0.29549077,0.015481293,0.499965009
2.967081771,0.280329382,0.007349459,0.553327518
1.991325874,0.203051722,0.006757129,0.566871258
2.024725971,0.164860545,0.010368588,0.625872876
1.26377868,0.123547131,0.002380994,0.481307029
